,Date,Open*,High,Low,Close**,Volume,Market Cap,Close Percent Change
0,"Feb 11, 2019",0.818837,0.831253,0.788516,0.8206620000000001,"870,490","81,416,686",
1,"Feb 10, 2019",0.8039970000000001,0.8180069999999999,0.7767470000000001,0.8180069999999999,"1,808,745","81,152,188",-0.0032351930514635807
2,"Feb 09, 2019",0.816058,0.816058,0.7892979999999999,0.803968,"668,349","79,758,423",-0.017162444820154277
3,"Feb 08, 2019",0.7528739999999999,0.8361860000000001,0.743843,0.817695,"1,762,627","81,119,182",0.01707406264925959
4,"Feb 07, 2019",0.738795,0.7718729999999999,0.738795,0.751636,"1,098,859","74,564,826",-0.08078684595111862
5,"Feb 06, 2019",0.770989,0.770989,0.732021,0.738042,"907,994","73,215,236",-0.018085881996072528
6,"Feb 05, 2019",0.781134,0.810511,0.760863,0.768977,"770,109","76,283,062",0.041914958769284194
7,"Feb 04, 2019",0.795367,0.796846,0.7696770000000001,0.7837069999999999,"723,581","77,743,273",0.019155319339850152
8,"Feb 03, 2019",0.831817,0.8336549999999999,0.781403,0.788343,"1,209,594","78,202,123",0.005915476064396685
9,"Feb 02, 2019",0.7762939999999999,0.875609,0.772342,0.831415,"2,515,325","82,473,769",0.054636116512736255
10,"Feb 01, 2019",0.762817,0.787351,0.7367239999999999,0.778469,"1,048,162","77,220,689",-0.0636817954932255
11,"Jan 31, 2019",0.837857,0.843133,0.761322,0.7631,"1,832,935","75,695,183",-0.019742597328859524
12,"Jan 30, 2019",0.811688,0.859265,0.800872,0.838564,"1,279,027","83,179,677",0.09889136417245448
13,"Jan 29, 2019",0.836766,0.8752209999999999,0.7949069999999999,0.812519,"1,447,173","80,595,095",-0.03105904856397368
14,"Jan 28, 2019",0.9084969999999999,0.9137219999999999,0.806901,0.836731,"1,633,346","82,995,672",0.029798687784531763
15,"Jan 27, 2019",0.9622229999999999,0.9653950000000001,0.907591,0.907591,"949,833","90,023,084",0.08468671532427985
16,"Jan 26, 2019",0.9686680000000001,0.985036,0.9583440000000001,0.964933,"544,642","95,709,524",0.06318044141028278
17,"Jan 25, 2019",0.988607,0.9913350000000001,0.952644,0.972724,"1,241,214","96,481,034",0.008074135717194952
18,"Jan 24, 2019",1.01,1.01,0.9690030000000001,0.986099,"1,180,724","97,806,432",0.013750046261837845
19,"Jan 23, 2019",1.01,1.08,0.9782120000000001,1.01,"3,959,984","100,175,856",0.024237931485581177
20,"Jan 22, 2019",0.975709,1.03,0.920758,1.0,"1,858,910","99,536,551",-0.00990099009900991
21,"Jan 21, 2019",0.991325,1.01,0.961377,0.974891,"1,226,675","96,690,901",-0.025109000000000048
22,"Jan 20, 2019",1.04,1.05,0.963024,0.99119,"1,439,697","98,306,162",0.016718792152148332
23,"Jan 19, 2019",0.9962030000000001,1.13,0.99079,1.04,"3,572,042","103,435,414",0.049243838214671376
